food,date,meal
1 can french onion soup,2021/08/20,1
2 medium onions,2021/08/20,1
2 tbsp soy sauce,2021/08/20,1
225g egg whites,2021/08/20,1
178g tomatoes,2021/08/20,1
389g tomatoes onion garlic oil,2021/08/20,2
214 egg whites,2021/08/20,3
200 tomatoes onion garlic oil,2021/08/20,3
1 medium apple,2021/08/20,4
11 brown sugar,2021/08/20,4
176 2% yogurt,2021/08/20,4
4 pickles,2021/08/20,5
82 let,2021/08/20,6
4 large eggs,2021/08/20,6
3 small onions,2021/08/20,6
3 tbsp soy sauce,2021/08/20,6
36 pea protein powder,2021/08/20,7
15 brown sugar,2021/08/20,7
95 2% yogurt,2021/08/20,7
255 egg whites,2021/08/21,1
355 tomatoes onion garlic,2021/08/21,1
13 brown sugar,2021/08/21,2
39g pea protein powder,2021/08/21,2
3 pickles,2021/08/21,3
30 popcorn,2021/08/21,4
83 let,2021/08/21,5
3 small onions,2021/08/21,5
4 large eggs,2021/08/21,5
333 tomatoes onion garlic,2021/08/21,5
1 tbsp soy sauce,2021/08/21,5
21g half and half,2021/08/21,5
185 2% yogurt,2021/08/21,6
7 brown sugar,2021/08/21,6
1 medium apple,2021/08/21,6
196 egg whites,2021/08/22,1
108 tomatoes with chiles,2021/08/22,1
218 greek yogurt,2021/08/22,1
9 brown sugar,2021/08/22,1
1 medium apple,2021/08/22,1
6 pickles,2021/08/22,2
2 medium onions,2021/08/22,3
2 small onions,2021/08/22,3
274g egg whites,2021/08/22,3
1 can progresso tomato basil 538g  270kcal 7 49 5,2021/08/22,3
247g tomatoes,2021/08/22,3
3 tbsp soy sauce,2021/08/22,3
1 tsp taco seasoning,2021/08/22,3
1 mango,2021/08/23,1
224 greek,2021/08/23,1
12 brown sugar,2021/08/23,1
1 medium apple,2021/08/23,1
128 banana peeled,2021/08/23,1
39g pea protein,2021/08/23,1
1 mango,2021/08/23,2
33g popcorn,2021/08/23,2
.5 can aldi lentil soup 528g 340kcal 5 57 17,2021/08/23,3
1 medium onion,2021/08/23,3
1 tbsp soy sauce,2021/08/23,3
340g egg whites,2021/08/23,3
200g tomatoes chile,2021/08/23,3
247 greek,2021/08/23,4
128 banana peeled,2021/08/23,4
1 medium apple,2021/08/23,4
10 brown sugar,2021/08/23,4
159 greek,2021/08/23,5
12 brown sugar,2021/08/23,5
24g popcorn,2021/08/23,6
28 popcorn,2021/08/23,7
1 mango,2021/08/24,1
277 egg whites,2021/08/24,2
1 can lentil,2021/08/24,2
83g tomatoes chile,2021/08/24,2
62g tomatoes,2021/08/24,2
27 popcorn,2021/08/24,3
1 cup fajita chicken,2021/08/24,4
2 cup cilantro rice,2021/08/24,4
1 cup broccoli,2021/08/24,4
.5 cup pico de gallo,2021/08/24,4
raspberries,2021/08/24,5
1 mango,2021/08/24,5
213 greek,2021/08/24,6
10 brown sugar,2021/08/24,6
1 peach,2021/08/24,6
6 lindor 70 truffles,2021/08/25,1
1 mango,2021/08/25,2
2 medium onion,2021/08/25,3
3 small onions,2021/08/25,3
4 large eggs,2021/08/25,3
2 tbsp soy sauce,2021/08/25,3
1 can lentil soup,2021/08/25,3
209 greek,2021/08/25,4
14 brown sugar,2021/08/25,4
1 peach,2021/08/25,4
1 mango,2021/08/25,5
202 greek,2021/08/25,6
12 brown sugar,2021/08/25,6
1 peach,2021/08/25,6
284 egg whites,2021/08/25,7
95g tomatoes chile,2021/08/25,7
1 can lentil soup,2021/08/25,7
3 tbsp soy sauce,2021/08/25,7
2 medium onion,2021/08/25,7
1 mango,2021/08/26,1
208 greek,2021/08/26,2
12 brown sugar,2021/08/26,2
1 medium apple,2021/08/26,2
28 popcorn,2021/08/26,3
621g chicken stock,2021/08/26,4
1 medium carrot,2021/08/26,4
1 small onions,2021/08/26,4
1 tbsp mirin,2021/08/26,4
2 tbsp soy sauce,2021/08/26,4
2 bricks white ramen,2021/08/26,4
112g gluten free pasta,2021/08/26,5
341g tomato sauce 125g 70kcal 2.5 11 2,2021/08/26,5
21g parmesan cheese,2021/08/26,5
2 tbsp soy sauce,2021/08/26,5
39g pea protein powder,2021/08/26,6
2 small cucumbers,2021/08/26,7
100g steel cut oats,2021/08/27,1
419g whole milk,2021/08/27,1
42g pea protein,2021/08/27,2
387g whole milk,2021/08/27,2
69g corn,2021/08/27,3
.5 carrot,2021/08/27,3
907g beef broth,2021/08/27,3
3 tbsp soy sauce,2021/08/27,3
1 tbsp mirin,2021/08/27,3
2 servings fusia white rice ramen 56g 190kcal .5 44 4,2021/08/27,3
1 tbsp garlic,2021/08/27,3
1 medium onion,2021/08/27,3
3 pickles,2021/08/27,4
27g popcorn,2021/08/27,5
1 mango,2021/08/27,6
75g banana peeled peeled peeled,2021/08/27,7
221g greek,2021/08/27,7
1 medium,2021/08/27,7
25g popcorn,2021/08/27,8
265 greek,2021/08/28,1
105 banana,2021/08/28,1
1 medium apple,2021/08/28,1
14 brown sugar,2021/08/28,1
121g gluten free pasta,2021/08/28,2
2 medium onions,2021/08/28,2
549 reggano marinara 125g 70kcal 2.5 9 2,2021/08/28,2
26 parmesan cheese,2021/08/28,2
2 tbsp soy sauce,2021/08/28,2
92g banana peeled peeled peeled peeled,2021/08/28,3
290g egg whites,2021/08/28,4
65g corn,2021/08/28,4
84g tomatoes,2021/08/28,4
42g pea protein powder,2021/08/28,5
12 brown sugar,2021/08/28,5
197 greek,2021/08/28,5
1 medium apple,2021/08/28,5
125g greek,2021/08/29,1
9 brown sugar,2021/08/29,1
1 large nectarine,2021/08/29,1
120g aldi vanilla ice cream,2021/08/29,2
28g primal spirit vegan jerky 28g 99kcal 3 8 10,2021/08/29,3
70g noble jerky original vegan jerky 35g 110kcal 2 17 7,2021/08/29,3
1 banana,2021/08/29,3
156g wegmans apple grapes colby cheese 156g 180kcal 8 21 7,2021/08/29,3
212g vanilla ice cream,2021/08/29,4
116g gluten free pasta 56g 200kcal 1.5 43 4,2021/08/29,5
3 medium onions,2021/08/29,5
569g marinara sauce,2021/08/29,5
132g corn chile,2021/08/29,5
6g parmesan cheese,2021/08/29,5
3 tbsp soy sauce,2021/08/29,5
31g parmesan cheese,2021/08/29,5
29g popcorn,2021/08/29,6
1 can lentil soup,2021/08/29,7
2 medium onion,2021/08/29,7
2 tbsp soy sauce,2021/08/29,7
1 mango,2021/08/29,8
1 mango,2021/08/30,1
1 nectarine,2021/08/30,1
2 medium onion,2021/08/30,2
1 tbsp mirin,2021/08/30,2
3 tbsp soy sauce,2021/08/30,2
32oz vegetable broth 240ml or 907g/4 15kcal 0 3 0,2021/08/30,2
2 bricks red rice noodles 56g 210kcal 2 46 4,2021/08/30,2
1 carrot,2021/08/30,2
1 bar glutino strawberry oven baked bars 140kcal 40g 3.5 28 2,2021/08/30,3
2 snickers ice cream bars large,2021/08/30,4
1 can lentil soup,2021/08/30,5
2 medium onions,2021/08/30,5
2 tbsp soy sauce,2021/08/30,5
1276g prepped 3 chef's cupboard bean chili (35g 130 1 26 7) x 8,2021/08/31,1
302 egg whites,2021/08/31,1
67 tomatoes,2021/08/31,1
2 tbsp soy sauce,2021/08/31,1
2 medium onions,2021/08/31,1
583 chili,2021/08/31,1
45g pea protein powder,2021/08/31,2
223 white rice cooked,2021/08/31,3
116 chicken breast,2021/08/31,3
30g tomatoes,2021/08/31,3
5 squares choceur milk chocolate 30g 170kcal 10 16 2 (3 squares),2021/08/31,4
52g simply nature cheddar puffs 28g 130 kcal 6 15 1,2021/08/31,4
274 3 bean chili,2021/08/31,5
354g chili,2021/08/31,6
40g pea protein powder,2021/08/31,6
1 large bk fries 448 kcal,2021/08/31,7
8 pc cheesy tots 320 kcal,2021/08/31,7
1.5 cups sonic ice cream dish 250kcal,2021/08/31,7
impossible whopper 630kcal,2021/08/31,8
bk oreo shake,2021/08/31,8
apple fritter (400?),2021/09/02,1
maple eclair (550?),2021/09/02,1
fruit tart (800?),2021/09/02,1
scone (500?),2021/09/02,1
30oz mango dragon fruit drink,2021/09/02,2
2 cucumber,2021/09/02,3
179g raspberries,2021/09/02,4
spiedie and rib pit 12 in ribeye sandwich,2021/09/02,5
spiedie and rib pit small french fry,2021/09/02,5
2 senor rico rice pudding,2021/09/02,6
2 senor rico rice pudding,2021/09/03,1
3 pickles,2021/09/03,2
794g 1 can deutsche kuche harvest potato soup aldi 245g 100kcal 2.5 17 3,2021/09/03,3
4 large eggs,2021/09/03,3
2tbsp soy sauce,2021/09/03,3
250g cucumber,2021/09/03,3
327g hamburger and rice,2021/09/03,4
45g pea protein powder,2021/09/03,5
240 cucumber,2021/09/03,6
228g greek,2021/09/03,6
17g brown sugar,2021/09/03,6
1 mango,2021/09/04,1
237g greek,2021/09/04,1
13g brown sugar,2021/09/04,1
29g popcorn,2021/09/04,2
29g popcorn,2021/09/04,3
1 can 794g deutsche kuche hearty pea soup 245g 150kcal 1.5 25 10,2021/09/04,4
3 tbsp soy sauce,2021/09/04,4
2 large onions,2021/09/04,4
4 large eggs,2021/09/04,4
3 pieces lasagna gluten free noodles 500kcal each,2021/09/04,5
3 pickles,2021/09/05,1
2 pieces gluten free lasagna,2021/09/05,2
1 large apple streusel (600kcal?),2021/09/05,3
1 large apple streusel (600kcal?),2021/09/05,3
3 pickles,2021/09/05,4
1 large apple streusel (800kcal?),2021/09/05,5
3 pickles,2021/09/05,6
217g greek,2021/09/05,7
11g brown sugar,2021/09/05,7
258 egg whites,2021/09/05,8
400g tomatoes,2021/09/05,8
1 mango,2021/09/05,9
1 mango,2021/09/06,1
511g gluten free pasta salad,2021/09/06,2
2 bricks white rice ramen,2021/09/06,3
907g vegetable broth 240ml 15kcal 0 3 0,2021/09/06,3
2 mushrooms,2021/09/06,3
1 tbsp garlic,2021/09/06,3
1 sm jalapeno,2021/09/06,3
1 tbsp mirin,2021/09/06,3
3 tbsp soy sauce,2021/09/06,3
4 large eggs,2021/09/06,3
1 mango,2021/09/06,4
39g pea protein powder,2021/09/06,4
247g whole milk,2021/09/06,4
"12"" chicken spiedie mushroom provolone cheese sub",2021/09/06,5
arby's large curly fry,2021/09/06,5
130 greek,2021/09/07,1
13 brown sugar,2021/09/07,1
4 lindor milk chocolate truffles,2021/09/07,2
261 egg whites,2021/09/07,3
283g tomatoes,2021/09/07,3
1 can lentil soup,2021/09/07,3
